procs,input type,stat,value
1,angsd,max mem,31.3671875
1,angsd,time,1121.165903
1,pileup,max mem,31.90625
1,pileup,time,8953.033994
1,pileup mq,max mem,32.09375
1,pileup mq,time,9828.899984
4,angsd,max mem,239.046875
4,angsd,time,734.455158
4,pileup,max mem,240.5351563
4,pileup,time,3371.666664
4,pileup mq,max mem,243.4140625
4,pileup mq,time,3272.166679
8,angsd,max mem,439.8398438
8,angsd,time,657.825423
8,pileup,max mem,444.1054688
8,pileup,time,2270.955673
8,pileup mq,max mem,445.171875
8,pileup mq,time,2248.003797
12,angsd,max mem,644.0898438
12,angsd,time,597.131074
12,pileup,max mem,644.9492188
12,pileup,time,1595.792831
12,pileup mq,max mem,646.1484375
12,pileup mq,time,1582.10597
16,angsd,max mem,841.921875
16,angsd,time,594.099427
16,pileup,max mem,846.8945313
16,pileup,time,1467.254941
16,pileup mq,max mem,847.421875
16,pileup mq,time,1454.9007
20,angsd,max mem,1043.191406
20,angsd,time,565.0705781
20,pileup,max mem,1048.132813
20,pileup,time,1211.444033
20,pileup mq,max mem,1052.105469
20,pileup mq,time,1189.496807
24,angsd,max mem,1244.488281
24,angsd,time,576.7845299
24,pileup,max mem,1250.089844
24,pileup,time,1168.782569
24,pileup mq,max mem,1250.773438
24,pileup mq,time,1173.246491
