procs,species,input type,stat,value,new value
1,j. sinuosa,jsin-angsd,max mem,31.3671875,31.37109375
1,j. sinuosa,jsin-angsd,time,1121.165903,1146.57
1,j. sinuosa,jsin-pileup,max mem,31.90625,31.703125
1,j. sinuosa,jsin-pileup,time,8953.033994,5431.01
1,j. sinuosa,jsin-pileup mq,max mem,32.09375,34.28125
1,j. sinuosa,jsin-pileup mq,time,9828.899984,5369.64
1,owl monkey,om-angsd,max mem,102.125,NA
1,owl monkey,om-angsd,time,62391.39884,NA
4,j. sinuosa,jsin-angsd,max mem,239.046875,241.4921875
4,j. sinuosa,jsin-angsd,time,734.455158,801.12
4,j. sinuosa,jsin-pileup,max mem,240.5351563,241.6835938
4,j. sinuosa,jsin-pileup,time,3371.666664,1991.55
4,j. sinuosa,jsin-pileup mq,max mem,243.4140625,279.15625
4,j. sinuosa,jsin-pileup mq,time,3272.166679,1925.6
4,owl monkey,om-angsd,max mem,539.484375,NA
4,owl monkey,om-angsd,time,17857.04213,NA
8,j. sinuosa,jsin-angsd,max mem,439.8398438,440.1210938
8,j. sinuosa,jsin-angsd,time,657.825423,649.22
8,j. sinuosa,jsin-pileup,max mem,444.1054688,443.2695313
8,j. sinuosa,jsin-pileup,time,2270.955673,1448.68
8,j. sinuosa,jsin-pileup mq,max mem,445.171875,517.0664063
8,j. sinuosa,jsin-pileup mq,time,2248.003797,1369.18
8,owl monkey,om-angsd,max mem,972,NA
8,owl monkey,om-angsd,time,9053.643466,NA
12,j. sinuosa,jsin-angsd,max mem,644.0898438,641.2265625
12,j. sinuosa,jsin-angsd,time,597.131074,604.55
12,j. sinuosa,jsin-pileup,max mem,644.9492188,645.3125
12,j. sinuosa,jsin-pileup,time,1595.792831,1099.57
12,j. sinuosa,jsin-pileup mq,max mem,646.1484375,752.046875
12,j. sinuosa,jsin-pileup mq,time,1582.10597,1036.1
12,owl monkey,om-angsd,max mem,NA,1333.699219
12,owl monkey,om-angsd,time,NA,8618.37
12,owl monkey,om-pileup,max mem,NA,1309.699219
12,owl monkey,om-pileup,time,NA,165275.46
12,owl monkey,om-pileup mq,max mem,NA,NA
12,owl monkey,om-pileup mq,time,NA,NA
16,j. sinuosa,jsin-angsd,max mem,841.921875,842.3476563
16,j. sinuosa,jsin-angsd,time,594.099427,584.63
16,j. sinuosa,jsin-pileup,max mem,846.8945313,847.6015625
16,j. sinuosa,jsin-pileup,time,1467.254941,981.98
16,j. sinuosa,jsin-pileup mq,max mem,847.421875,988.5351563
16,j. sinuosa,jsin-pileup mq,time,1454.9007,930.21
20,j. sinuosa,jsin-angsd,max mem,1043.191406,1044.957031
20,j. sinuosa,jsin-angsd,time,565.0705781,593.45
20,j. sinuosa,jsin-pileup,max mem,1048.132813,1050.726563
20,j. sinuosa,jsin-pileup,time,1211.444033,851.1
20,j. sinuosa,jsin-pileup mq,max mem,1052.105469,1226.820313
20,j. sinuosa,jsin-pileup mq,time,1189.496807,830.19
24,j. sinuosa,jsin-angsd,max mem,1244.488281,1245.246094
24,j. sinuosa,jsin-angsd,time,576.7845299,589.67
24,j. sinuosa,jsin-pileup,max mem,1250.089844,1251.925781
24,j. sinuosa,jsin-pileup,time,1168.782569,813.65
24,j. sinuosa,jsin-pileup mq,max mem,1250.773438,1463.117188
24,j. sinuosa,jsin-pileup mq,time,1173.246491,804.55
24,owl monkey,om-angsd,max mem,2446.160156,2569.792969
24,owl monkey,om-angsd,time,4913.910043,6055.97
24,owl monkey,om-pileup,max mem,NA,2328.128906
24,owl monkey,om-pileup,time,NA,89105.84
24,owl monkey,om-pileup mq,max mem,NA,2621.898438
24,owl monkey,om-pileup mq,time,NA,103902.09
